session_date,id_etudiant_gh,presence,duree_heures,niko_niko,fdbck_clarte_explications,fdbck_utilite_concepts,fdbck_difficulte_percue,fdbck_suggestions_amelioration,fdbck_impact_progression,fdbck_confiance_atteinte_objectif_professionnel,fdbck_ce_que_j_ai_prefere,fdbck_commentaires_supplementaires
2025-03-22,alizeem,ON_SITE,3,JAUNE,4,4,3,"Mieux expliciter les champs comportant des échelles dans la table feedback_sessions",4,3,"La prise en main des notebooks Kaggle et les échanges entre les étudiants et l intervenant","Le cours est clair et bien structuré"
2025-03-22,playade,ON_SITE,3,VERT,5,4,2,"pause si c est possible",4,3,"plusieurs activités pratiques","besoin d assistance en cas de difficulté en pratique"
2025-03-22,cassandra03,ON_SITE,3,VERT,5,4,3,"Explications sur les vidéos visionnées en cours",3,3,"Découverte de Kaggle et utilisation du notebook"," "
2025-03-22,JulianMalaval,ON_SITE,3,VERT,5,5,3,"Pas de suggestions particulières",4,4,"coder directement sur kaggle",
2025-03-22,jasknky,ABSENT,3,VERT,,,,,3,3,,
2025-04-01,galinclementine,ON_SITE,2,VERT,4,3,2,,4,2,"Organisation, répartition tâches tp prixnc",
2025-04-01,tinanak,ON_SITE,3,JAUNE,3,4,3,"Pas de suggestions particulières",4,3,"Explication sur le vidéo et utilisation de kaggle","Perso j ai eu un peu de mal pendant cette séance : beaucoup d’informations à retenir et en fin de journée la baisse de motivation n’aide pas. Je vais essayer d être plus concentrée la prochaine fois !"
2025-04-01,raphb3383,ON_SITE,3,VERT,4,4,4,"Intéressé par ecosystme interopérable Kaggle avec autres supports HuggingFace MailChimp Google",3,4,"Encore un peu abstrait les composantes DATA DELIVERY et LLM",
2025-04-01,raimanu,ON_SITE,2,VERT,4,4,3,,3,3,"Différentes utilisations de Kaggle",
2025-04-01,deviberges,ON_SITE,3,VERT,4,5,3,,3,3,"Explications Chatbot vs DL vs ML","Pouvez vous nous mettre à disposition les slides des différentes séances sur le Moodle svp ?"
2025-04-01,JulianMalaval,ON_SITE,2,VERT,5,5,3,"Pas de suggestions particulières",4,4,"Utilisation de fonctionnalités que je ne conaissais pas sur kaggle et découverte de nouvelles notions interessantes sur l'interoperabilité et son fonctionnement et visualition du de l'application que l'on va développer",
2025-04-01,alizeem,ON_SITE,2,VERT,5,4,3,"Je n’ai pas de suggestions",4,4,"L’utilisation de Kaggle m’a permis de découvrir de nombreuses fonctionnalités et il en reste encore beaucoup à explorer",
2025-04-01,cassandra03,ON_SITE,2,VERT,4,4,3,"Pas de suggestions particulières",4,2,"Vidéos visionnées et découverte de nouvelles fonctionnalités sur Kaggle",
2025-04-01,Nathoune27,ON_SITE,2,VERT,4,4,3,"pas de suggestion particuliere",4,3,"Pas de péférence particulière", 
2025-04-01,jasknky,ON_SITE,2,VERT,4,4,3,"rien de particulier",4,4,"la mise en place du travail collaboratif","rien de particulier"
2025-04-01,playade,ON_SITE,2,VERT,4,4,3,"pas de suggestion particuliere",4,3,"découverte de nouvelles fonctionalités de kaggle et la préparation pour le nouveau projet", 
2025-04-01,josegoue993,ON_SITE,3,VERT,5,4,4,"rien de particulier",3,3,"préparation du sujet collectif prix-nc"," "
2025-04-07,josegoue993,ON_SITE,2,VERT,5,4,4,"Pas de suggestions",4,4,"Les échanges et les interactions pour le projet commun avec l'utilisation de schémas au tableau pour une meilleure compréhension","Maître du temps a refaire"
2025-04-07,raimanu,ON_SITE,1,VERT,4,4,4,,4,4,"la mise en place des objectifs pour les groupes",
2025-04-07,raphb3383,ON_SITE,3,VERT,4,4,4,,3,4,"La vision du projet s’affine bien que l’évaluation précise de la charge de travail et des compétences requises demeure partiellement floue",
2025-04-07,JulianMalaval,ON_SITE,2,VERT,5,5,3,"Pas de suggestions particulières",4,4,"Répartion des taches pour le projet prix nc avec des explications détaillées des différentes fonctions de chacun et des technologies qui vont etre mises en place",
2025-04-07,galinclementine,ON_SITE,2,VERT,5,4,2,,3,3,"Modélisation projet au tableau = clarté, bonne vision d'ensemble",
2025-04-07,cassandra03,ON_SITE,2,VERT,4,4,3,Pas de suggestions particulières,3,3,"Explications claires sur le projet : répartition des tâches pour chaque groupe et découverte de nouvelles technologies.",
2025-04-07,alizeem,ON_SITE,2,VERT,4,4,3,"Rien à suggérer de mon côté",4,4,"La méthodologie adoptée pour la réalisation du projet Prix.nc (les équipes/la répartition des tâches/les technologies ...)",
2025-04-07,tinanak,ON_SITE,1,VERT,4,4,4,"",4,4,"Avec le schéma d'explication sur le projet prix.nc est bien plus clair",
2025-04-07,playade,ON_SITE,2,VERT,4,4,3,"Pas de suggestions particulières",3,3,"Attribution des tâches pour chaque membre de l équipe",
2025-04-07,jasknky,ON_SITE,2,VERT,4,5,4,"rien a suggérer",4,5,"le travail sur la définition des tâches à faire pour le projet commun","rien de particulier"
2025-04-07,deviberges,ON_SITE,2,JAUNE,4,4,5,,4,4,"Vision globale du projet + définition des certifications Kaggle à passer pour la partie ML/DL","Pour info, nous aurons pas mal de cours Pépite les mardis de 17h45 à 19h45 (à voir comment on pourras s'organiser avec l'équipe ?)"
2025-04-07,Nathoune27,ON_SITE,2,VERT,4,4,4,"Pas de suggestions particulières",4,4,"Répartition des travaux à faire en fonction des équipe pour le projet",
